	West-Terschelling	Kuinder	Steenbergen	Gits
kippen	kipən			kîˑk̞̆nz
mijn	miŋ	miŋ	mɛnə	mənə
vriend	kɑ̟mərɑ̟ːt	kɑmərɔːt̬	vʀɪnt	vrî̞ˑnd
bloemen	blʊmə			blʊm̩
spinnen	spɪnə			spɪ̞n̩ˑ
machines	məsinəs / məʃinəs			mɑsi̞n̩
werk	ʋɔrə̆k	ʋɛ̞rə̆k	wæˑʀək	
op	ʊp̬	ʊp̬	ɔp̬	ʏ̞p̬
schip	sxɪp	skɪp	sxɪp	ʃx̠ɪ̞p
kregen	kreːɣə̃ / krɪɣə̃	kreːə̆ŋˑ	kʀeˑɣə	krɪ̝ˑə̆ɣ̠ə̃
beschimmeld	fəsxɪməlt / bəsxɪməlt			ɣ̠əvɪ̞nɪ̞ɣ̠
brood	bro̝ˑə̆t	broːt	bʀo̞ːt	bro̞ˑə̆t
timmerman	tɪmərmɑn			tæmərmɑ̃n
splinter	splɪntər			splæ̃ˑn̆tər
vinger	fɪŋər	vɪŋər	vɪŋəʀ	viŋərə
fabriek	fəbrik			fɑbrikə
vier	fjɔŭwər	viːə̆	fiˑʀ	viːr
bier	biˑə̆r	biːə̆	biːʀ	biːr
twee	twɑ̟	tʋeˑ	twɛ	twɛ
drie	treːĭjə	dri	dʀi	dri
hij	hɛĭ	h̆ɛĭ	ɛ	jə
knuppel	knʏpəl / ɛinhɔŭt	stɔ̠k	knʏpl̩	stɔk
ik	ɪk	ɪk	ɪk	k
knie	knɪbəl	knɛĭə̆	kniˑ	k̆niˑ
gezien	siˑə̆n	zinə̆	ɣəziːn	ɣəziːn
ragebol	rɑ̟ːɣəbɔl			kʊ̞bəjʊˑɣ̠̆ə̆rə
pet	pɛt			klɑkə
paddestoel	pɑ̟dəstuˑə̆l			pɑdəstûˑl
kerel	mɑ̟n	ke̞ːə̆l	keˑʀəl / vɛnt	kɛ̞ˑrl
brede	breːdə / breːjə			brɪˑə̆
stenen	stɪn̩ː	steːnˑ	stiˑə̆nə	stɪ̃ˑə̆̃s
breder	breːdər	breˑdər	bʀeˑjəʀ	brɛ̝də̆rə
breedste	breːstə			brɛ̝tstə
standbeeld	stɔndbeːlt			stɑ̃ˑm̆be̞ˑlt
duivel	dyvəl	dyvəl	lysĭfɛˑʀ	ly̞sifɛːr
gebleven	blɔŭn	bleːə̆mˑ	ɣəbleˑvə	x̠əbleːṽ
meester	meːstər	me̞ːstər	miˑə̆stəʀ	mɪ̝ˑə̆stər
zee	seˑ	zeː	zeˑ	zɪˑə̆
graag	xrɑːx	ɣraːx	ɣʀɔ̞ːx	ɣ̠ɛːrn
keelpijn	ətĩˑsĩkeːl			əzɪ̝ˑə̆rəke̞ˑlə
steel	stɛːl	stɔ̠k	steˑl	stɛ̞ːrt̬
bezem	biːzəm	bɛs̬əm	bɛsəm	bœst̆lə
neen	neː			nɛ̃nt
geroepen	rɔft	rupm̩	ɣəʀoˑpə	ɣ̠əroˑpm
peer	pɔˑə̆r	pe̞ːrə	peˑʀ	pɛ̞ːrə
rijp	rip	rip	ʀɛˑĭp	ripə
geld	jɪlt	ɣɛlt	ɣɛ̞lt	ɣ̠æˑld
ver	fiˑə̆r	v̥e̞ːr	fɛʀ	færə
brengen	brɪŋə	brɛŋˑ	bʀɛŋə	briŋː
vrouw	ʋiːf			wy̞f
zwemmen	swʊmə	zʋɛmˑ	zwɛmə	zwæm̩
sterk	stɛrk			stæːrk
bed	bɛˑə̆t	bɛdə	bɛt	bæd
optillen	ʊptɪlən			ɪ̞pæfn
metselaar				mætsnɔ̝ˑr
springen	sprɪŋə	sprɪŋˑ	spʀɪŋən	spriŋː
boterham				sty̞tə
vader	tɔ̞ˑə̆	v̥aˑdər	vɑˑdər	vʊ̞ˑə̆dər
zes	sɛks	zɛs	zɛs	zæz
jaar	jiə̆r	jɔ̝ːr	jɑʀ	jʊ̞ˑr
school	sxuˑəl	sku̞ˑl	sxoˑl	sʲx̠oˑlə
laten	lɪtn̩̆	lɔˑtn̩	lɑtə	lʊ̞ˑə̆tnˑ
gaan	xeˑə̆̃	ɣɔ̃ːn̆	ɣɑ̝ːn	ɣ̠ʊ̃ˑn
